,count_0,count_1,count_2,count_3,count_4,ratio_0,ratio_1,ratio_2,ratio_3,ratio_4
0.0,교환학생여부,,,,,,,,,
0.0,169,237.0,97,247,62,0.9825581395348837,1.0,0.8508771929824561,0.9724409448818898,0.7126436781609196
1.0,3,,17,7,25,0.01744186046511628,,0.14912280701754385,0.027559055118110236,0.28735632183908044
0.0,복수전공여부,,,,,,,,,
0.0,167,229,111,252,83,0.9709302325581395,0.9662447257383966,0.9736842105263158,0.9921259842519685,0.9540229885057471
1.0,5,8,3,2,4,0.029069767441860465,0.03375527426160337,0.02631578947368421,0.007874015748031496,0.04597701149425287
0.0,부전공여부,,,,,,,,,
0.0,165,233,107,247,78,0.9593023255813954,0.9831223628691983,0.9385964912280702,0.9724409448818898,0.896551724137931
1.0,7,4,7,7,9,0.040697674418604654,0.016877637130801686,0.06140350877192982,0.027559055118110236,0.10344827586206896
0.0,비교과 여부,,,,,,,,,
0.0,172.0,237.0,,254.0,,1.0,1.0,,1.0,
1.0,,,114.0,,87.0,,,1.0,,1.0
0.0,성별_여자,,,,,,,,,
0.0,,237.0,113,254.0,13,,1.0,0.9912280701754386,1.0,0.8505747126436781
1.0,172.0,,1,,74,1.0,,0.008771929824561403,,0.14942528735632185
0.0,수도권_거주여부,,,,,,,,,
1.0,132,199,83,185,58,0.23255813953488372,0.16033755274261605,0.2719298245614035,0.27165354330708663,0.3333333333333333
0.0,40,38,31,69,29,0.7674418604651163,0.8396624472573839,0.7280701754385965,0.7283464566929134,0.6666666666666666
0.0,"진로,심리 여부",,,,,,,,,
0.0,172.0,237.0,92,254.0,64,1.0,1.0,0.8070175438596491,1.0,0.735632183908046
1.0,,,22,,23,,,0.19298245614035087,,0.26436781609195403
0.0,창업 여부,,,,,,,,,
0.0,172.0,237.0,100,254.0,77,1.0,1.0,0.8771929824561403,1.0,0.8850574712643678
1.0,,,14,,10,,,0.12280701754385964,,0.11494252873563218
0.0,"취업,진로 여부",,,,,,,,,
0.0,172.0,237.0,49,254.0,34,1.0,1.0,0.5701754385964912,1.0,0.6091954022988506
1.0,,,65,,53,,,0.4298245614035088,,0.39080459770114945
0.0,학부_편입여부,,,,,,,,,
0.0,144,199,114.0,247,78,0.8372093023255814,0.8396624472573839,1.0,0.9724409448818898,0.896551724137931
1.0,28,38,,7,9,0.16279069767441862,0.16033755274261605,,0.027559055118110236,0.10344827586206896
0.0,학부와 대학원 전공의 계열 일치 여부,,,,,,,,,
0.0,,3,,3,2,,0.9873417721518988,,0.9881889763779528,0.9770114942528736
1.0,172.0,234,114.0,251,85,1.0,0.012658227848101266,1.0,0.011811023622047244,0.022988505747126436
0.0,학습역량 여부,,,,,,,,,
0.0,172.0,237.0,24,254.0,25,1.0,1.0,0.7894736842105263,1.0,0.7126436781609196
1.0,,,90,,62,,,0.21052631578947367,,0.28735632183908044
0.0,현장실습이수여부,,,,,,,,,
0.0,125,199,89,184,60,0.7267441860465116,0.8396624472573839,0.7807017543859649,0.7244094488188977,0.6896551724137931
1.0,47,38,25,70,27,0.27325581395348836,0.16033755274261605,0.21929824561403508,0.2755905511811024,0.3103448275862069
0.0,휴학_군대,,,,,,,,,
0.0,172.0,237.0,25,3,87.0,1.0,1.0,0.7807017543859649,0.9881889763779528,1.0
1.0,,,89,251,,,,0.21929824561403508,0.011811023622047244,
0.0,휴학_기타,,,,,,,,,
0.0,124,187,,,64,0.7209302325581395,0.7890295358649789,,,0.735632183908046
1.0,48,50,114.0,254.0,23,0.27906976744186046,0.2109704641350211,1.0,1.0,0.26436781609195403
